Feature,Importance
num__BEGIN_MONTH,0.17632792869586544
num__AGE,0.13363329471226754
num__YEARS_EMPLOYED,0.11769486650663055
num__INCOME_PER_PERSON,0.10735991035850292
num__INCOME,0.09663927617025739
num__FAMILY SIZE,0.033931270591986556
num__NO_OF_CHILD,0.026223196952551837
num__PHONE,0.023339475992647116
num__WORK_PHONE,0.020305771856462377
cat__INCOME_TYPE_Working,0.018941142349837226
cat__INCOME_TYPE_Commercial associate,0.017833364287142637
cat__GENDER_F,0.017557487033319382
cat__EDUCATION_TYPE_Secondary / secondary special,0.017148852962365034
cat__CAR_Y,0.01711413989937137
cat__GENDER_M,0.017078873340596493
cat__CAR_N,0.01670365308992868
cat__REALITY_Y,0.016643593715067517
cat__EDUCATION_TYPE_Higher education,0.016175195157186507
cat__REALITY_N,0.014978538834376115
cat__FAMILY_TYPE_Single / not married,0.01296611353382986
cat__FAMILY_TYPE_Married,0.012740214796116135
cat__HOUSE_TYPE_House / apartment,0.011729488754034182
cat__INCOME_TYPE_State servant,0.009508418614415343
cat__FAMILY_TYPE_Civil marriage,0.008482710722805037
cat__HOUSE_TYPE_With parents,0.0074351285558319265
cat__FAMILY_TYPE_Separated,0.005877692618404036
cat__EDUCATION_TYPE_Incomplete higher,0.005459161652354108
cat__HOUSE_TYPE_Municipal apartment,0.005279722722998983
cat__INCOME_TYPE_Pensioner,0.004092742451833823
cat__FAMILY_TYPE_Widow,0.0033577361427200936
cat__EDUCATION_TYPE_Lower secondary,0.0027229050756312277
cat__HOUSE_TYPE_Rented apartment,0.002619297000868163
cat__HOUSE_TYPE_Office apartment,0.0015096001449853701
cat__HOUSE_TYPE_Co-op apartment,0.0005556509450294727
cat__EDUCATION_TYPE_Academic degree,2.232065276036027e-05
cat__INCOME_TYPE_Student,1.1263109019218248e-05
