Requirement,Status
Task 1 - Dataset import,Done
Task 1 - Dataset merge,Done
Task 1 - Merge validation and analytical dataset cleanup,Done
"Task 2A - Shape, columns, data types",Done
Task 2A - Missing value analysis,Done
Task 2A - Unique value summary,Done
Task 2A - Summary table with key dataset metrics,Done
Task 2B - Missing value treatment,Done
Task 2B - Duplicate analysis,Done
Task 2B - Outlier analysis,Done
Task 2B - Outlier capping,Done
Task 2B - Feature engineering,Done
Task 2B - Encoding / feature preparation,Done
Task 2C - Descriptive statistics,Done
Task 2C - Numerical visualisations,Done
Task 2C - Bivariate target-based visualisations,Done
Task 2C - Fraud-rate-by-category analysis,Done
Task 2C - Correlation heatmap,Done
Task 3 - Logistic Regression baseline,Done
Task 3 - Random Forest model,Done
Task 3 - Metrics comparison,Done
Task 3 - Model improvement using RandomizedSearchCV + threshold tuning,Done
Task 3 - Cross-validation,Done
Task 3 - Final confusion matrix and ROC/PR curves,Done
Task 4 - GUI,Developed separately (see GUI files/screenshots)
Task 5 - GitHub screenshot evidence,Added manually
