,NO_OF_CHILD,WORK_PHONE,PHONE,E_MAIL,FAMILY SIZE,BEGIN_MONTH,AGE,YEARS_EMPLOYED,TARGET,INCOME,INCOME_PER_FAMILY_MEMBER,HAS_CONTACT_INFO,IS_LARGE_FAMILY
NO_OF_CHILD,1.0,-0.009953765279860851,-0.01934180775879621,-0.015477513835267097,0.9022280562155622,0.0016255711671033183,-0.25525569830865885,-0.048575339845970095,-0.0008667221898877965,-0.028803831342585417,-0.3796165326119181,-0.02253218326112469,0.7748116370886505
WORK_PHONE,-0.009953765279860851,1.0,0.369615014585389,-0.06724103693802301,0.008215901007423677,0.011387391635666287,-0.03865880933497555,0.012218650414306205,0.005868894610230567,-0.10629269954144951,-0.06737961829340204,0.747692974260279,0.017461563799544735
PHONE,-0.01934180775879621,0.369615014585389,1.0,0.009078226340654463,-0.0075678203954490575,0.017650224531077705,0.02598358789146478,0.042321297230678616,0.003023081857714385,0.003495160901106484,0.014807068970602189,0.7838490290694895,-0.006260991925925265
E_MAIL,-0.015477513835267097,-0.06724103693802301,0.009078226340654463,1.0,-0.009905590700928285,-0.007224179919288362,-0.06102797407246747,-0.04339560578441116,0.0005365059120653786,0.07849140847590518,0.06397358346298658,0.3462606183102785,-0.023699946990295602
FAMILY SIZE,0.9022280562155622,0.008215901007423677,-0.0075678203954490575,-0.009905590700928285,1.0,0.021075877402591255,-0.2114873506062482,-0.029765640882886503,-0.005586573899879384,-0.039069360766329185,-0.5462309200325777,-0.003475476385357026,0.7255365894886691
BEGIN_MONTH,0.0016255711671033183,0.011387391635666287,0.017650224531077705,-0.007224179919288362,0.021075877402591255,1.0,0.08883284795970556,0.09705975695284785,0.06071286909550375,0.02945780061265157,-0.006458434695511392,0.013768303757590233,0.010877496075199628
AGE,-0.25525569830865885,-0.03865880933497555,0.02598358789146478,-0.06102797407246747,-0.2114873506062482,0.08883284795970556,1.0,0.32698205338230746,-0.007957699180597213,0.05675039503428859,0.12037864101626061,-0.029935323976412916,-0.15805331533018488
YEARS_EMPLOYED,-0.048575339845970095,0.012218650414306205,0.042321297230678616,-0.04339560578441116,-0.029765640882886503,0.09705975695284785,0.32698205338230746,1.0,-0.03308731064215809,0.03231357869320898,0.01920825411472354,0.01466706748271813,-0.018051871215025887
TARGET,-0.0008667221898877965,0.005868894610230567,0.003023081857714385,0.0005365059120653786,-0.005586573899879384,0.06071286909550375,-0.007957699180597213,-0.03308731064215809,1.0,0.007241573206037327,0.010327564384569226,0.005230029161412614,-0.0015998612848176586
INCOME,-0.028803831342585417,-0.10629269954144951,0.003495160901106484,0.07849140847590518,-0.039069360766329185,0.02945780061265157,0.05675039503428859,0.03231357869320898,0.007241573206037327,1.0,0.6670317917232471,-0.027938150137053173,-0.030806021179813844
INCOME_PER_FAMILY_MEMBER,-0.3796165326119181,-0.06737961829340204,0.014807068970602189,0.06397358346298658,-0.5462309200325777,-0.006458434695511392,0.12037864101626061,0.01920825411472354,0.010327564384569226,0.6670317917232471,1.0,-0.005110787561355669,-0.2712682586498796
HAS_CONTACT_INFO,-0.02253218326112469,0.747692974260279,0.7838490290694895,0.3462606183102785,-0.003475476385357026,0.013768303757590233,-0.029935323976412916,0.01466706748271813,0.005230029161412614,-0.027938150137053173,-0.005110787561355669,1.0,-0.0027616098478572514
IS_LARGE_FAMILY,0.7748116370886505,0.017461563799544735,-0.006260991925925265,-0.023699946990295602,0.7255365894886691,0.010877496075199628,-0.15805331533018488,-0.018051871215025887,-0.0015998612848176586,-0.030806021179813844,-0.2712682586498796,-0.0027616098478572514,1.0
