Variable,Category,Fraud_Rate_Percentage
INCOME_TYPE,Pensioner,100.0
INCOME_TYPE,Commercial associate,1.6879432624113475
INCOME_TYPE,Working,1.6702931012415205
INCOME_TYPE,State servant,1.190965092402464
INCOME_TYPE,Student,0.0
EDUCATION_TYPE,Lower secondary,3.2085561497326207
EDUCATION_TYPE,Incomplete higher,2.1148036253776437
EDUCATION_TYPE,Higher education,1.79472798653954
EDUCATION_TYPE,Secondary / secondary special,1.588529271775345
EDUCATION_TYPE,Academic degree,0.0
FAMILY_TYPE,Widow,2.586206896551724
FAMILY_TYPE,Single / not married,2.409288824383164
FAMILY_TYPE,Married,1.5820435204751842
FAMILY_TYPE,Civil marriage,1.5002344116268167
FAMILY_TYPE,Separated,1.0224948875255624
