,count,mean,std,min,25%,50%,75%,max
NO_OF_CHILD,25134.0,0.5123338903477361,0.7877851476293056,0.0,0.0,0.0,1.0,19.0
WORK_PHONE,25134.0,0.27381236571974216,0.44592271255877763,0.0,0.0,0.0,1.0,1.0
PHONE,25134.0,0.29279064215803297,0.45505221762329306,0.0,0.0,0.0,1.0,1.0
E_MAIL,25134.0,0.10066045993474974,0.30088458534015944,0.0,0.0,0.0,0.0,1.0
FAMILY SIZE,25134.0,2.294063817935864,0.9475895770378795,1.0,2.0,2.0,3.0,20.0
BEGIN_MONTH,25134.0,26.120593618206414,16.439657647347087,0.0,12.0,24.0,39.0,60.0
AGE,25134.0,40.5423529879844,9.568012193176926,21.0,33.0,40.0,48.0,70.5
YEARS_EMPLOYED,25134.0,6.910977162409485,5.50723422696507,0.0,3.0,5.0,10.0,20.5
INCOME,25134.0,188026.45720935785,79077.12087745528,27000.0,135000.0,180000.0,225000.0,360000.0
INCOME_PER_FAMILY_MEMBER,25134.0,101962.17766201729,75493.12204505768,5625.0,54000.0,78750.0,126000.0,900000.0
HAS_CONTACT_INFO,25134.0,0.6672634678125249,0.7942900007630397,0.0,0.0,0.0,1.0,3.0
IS_LARGE_FAMILY,25134.0,0.11768918596323705,0.3222461373365085,0.0,0.0,0.0,0.0,1.0
