rank_test_score,mean_test_score,std_test_score,param_classifier__n_estimators,param_classifier__max_depth,param_classifier__min_samples_split,param_classifier__min_samples_leaf,param_classifier__class_weight
1,0.2131806393262936,0.04049009583396979,300,15,5,1,balanced
2,0.20804221276290513,0.03672295149638914,300,,10,1,balanced
3,0.20244708994708993,0.05005359868984987,300,,10,4,balanced
4,0.2023652498497043,0.05807569804387075,200,,5,4,balanced_subsample
5,0.20086441657039114,0.05020021765272268,500,10,2,2,balanced_subsample
6,0.19949227781846948,0.0484455090460317,400,15,5,1,balanced_subsample
7,0.19339685655475128,0.03704332329170515,300,,2,2,balanced_subsample
8,0.1912044822162533,0.042201872964769634,400,10,5,1,balanced
9,0.190603810138844,0.04211675929092243,400,10,10,1,balanced
10,0.18777768064418998,0.03450862285632843,300,10,10,1,balanced
11,0.18292143861764112,0.043835032030930504,300,10,2,1,balanced_subsample
12,0.1729852005214324,0.029403271749698028,200,20,5,1,balanced_subsample
